Entidad,Archivo,Area,PK,Props,Nav
tblhotelchains,certificateActive,Other,idHotelChain,idHotelChain:int; hotelChainName:string; hotelChainAbbrev:string; hotelChainActive:bool; certificateActive:Nullable<bool>,tblcompanydevelopment; tblpartners
tblbaccounttpv,baccounttpvupdateon,Other,idbaccounttpv,idbaccounttpv:int; idbaccount:int; idtpv:int; baccounttpvcreatedBy:int; baccounttpvcreateddate:System.DateTime; baccounttpvupdatedby:int; baccounttpvupdateon:System.DateTime,tblbankaccount; tbltpv; tblusers; tblusers1
tblbankstatereserv,cardNumber,Bancos,idBankstatReserv,idBankstatReserv:long; idBankStatements:long; idReservationPayment:int; authCode:string; cardNumber:string,tblbankstatements; tblreservationspayment
tblattachments,attachmentactive,Other,idattachment,idattachment:int; attachmentname:string; attachmentactive:Nullable<bool>,tblincomeattach; tblinvoiceattach
tblprofilesaccounts,profileaccountactive,Other,idprofileaccount,idprofileaccount:int; profileaccountname:string; profileaccountshortame:string; profileaccountactive:Nullable<bool>,tblprofaccclass3; tblusers
tblpaymentLog,paymentdeletedon,Pagos/Reservas,idPayment,LogId:int; LogDate:Nullable<System.DateTime>; LogUser:Nullable<int>; LogObs:string; idPayment:long; idInvoice:int; idBAccount:int; idBankAccntType:int; applicationDate:System.DateTime; chargedAmount:decimal; authRef:string; creationDate:System.DateTime,
tblcompanydevelopment,idHotelChain,Usuarios/Empresas,idCompanyDevelopment,idCompanyDevelopment:int; idCompany:int; idHotelChain:int,tblcompanies; tblhotelchains
tblsegment,segmentactive,Other,idsegment,idsegment:int; segmentname:string; Segmentshortname:string; segmentdescription:string; segmentactive:bool,tblcompanies; tblconciliationsegmentaccl4fee; tblsegmentaccl4
tblbankaccountsourcedatatypes,idtype,Bancos,idbankaccountsourcedatatypes,idbankaccountsourcedatatypes:int; idbankaccountsourcedata:int; idtype:int,tblbankaccountsourcedata
tblaccountsl1,accountl1order,Other,idaccountl1,idaccountl1:int; accountl1name:string; accountl1description:string; accountl1active:Nullable<bool>; accountl1order:int,tblaccountsl2
tblbankstatepurchase,cardNumber,Bancos,idBankstatPurchase,idBankstatPurchase:long; idBankStatements:long; idPaymentPurchase:int; authCode:string; cardNumber:string,tblbankstatements; tblpaymentspurchases
tblincomeLog,incometupdateon,Facturacion/Ingresos,idincome,LogId:long; LogDate:Nullable<System.DateTime>; LogUser:Nullable<int>; LogObs:string; idincome:long; idcompany:int; idcurrency:int; incomeapplicationdate:System.DateTime; incomenumber:int; incomecreatedby:int; incomecreactionDate:System.DateTime; incomeupdatedby:int,
tblsourcedata,sourcedatadescription,Other,idsourcedata,idsourcedata:int; sourcedataname:string; sourcedataactive:bool; sourcedatadescription:string,tblbankaccountsourcedata; tblexpensereportsourcedata
tblaccl4paymenmethods,idaccountl4,Other,idaccl4paymenmethods,idaccl4paymenmethods:int; idpaymentmethod:Nullable<int>; idaccountl4:Nullable<int>,tblaccountsl4; tblPaymentForms
tblsegmentaccl4,segmentaccl4active,Other,idsegmentaccl4,idsegmentaccl4:int; idsegment:int; idaccountl4:int; segmentaccl4applyadd:Nullable<bool>; segmentaccl4active:bool,tblaccountsl4; tblsegment
tblpayment,paymentupdatedon,Pagos/Reservas,idpayment,idpayment:long; idinvoice:long; idbaccount:int; idbankprodttype:int; paymentdate:System.DateTime; paymentamount:decimal; paymentauthref:string; paymentcreatedby:int; paymentcreateon:System.DateTime; paymentupdatedby:int; paymentupdatedon:System.DateTime,tblbankaccount; tblbankprodttype; tblinvoice; tblbankstat2invoice
tblbatch,creditMonto,Other,idBatch,idBatch:int; batchDateCreate:Nullable<System.DateTime>; idFactura:string; batchUser:Nullable<int>; batchMonto:Nullable<decimal>; batchDate:Nullable<System.DateTime>; idPaymentForm:Nullable<int>; idbaccount:Nullable<int>; datePay:Nullable<System.DateTime>; idcompany:Nullable<int>; creditMonto:Nullable<decimal>,tblbankaccount; tblbatchdetail; tblbatchdetailpre
tblbankstatementmethod,bankstatementmethodActive,Bancos,idBankStatementMethod,idBankStatementMethod:int; bankstatementmethodName:string; bankstatementmethodShortName:string; bankstatementmethodDescription:string; bankstatementmethodActive:bool,tblbankstatements; tblbankstatements2
tblbatchdetailpre,batchCreate,Other,id,id:int; idBatch:Nullable<int>; idDeliver:Nullable<int>; deliveryDate:System.DateTime; idChain:Nullable<int>; idPartner:Nullable<int>; idPrefix:Nullable<int>; initialFolio:Nullable<int>; lastFolio:Nullable<int>; totalPayment:Nullable<decimal>; membershipType:Nullable<int>; batchCreate:System.DateTime,tblpartners; tblprefixes; tblbatch
tblbankstatements2Log,bankstatements2UpdatedOn,Bancos,idBankStatements2,Log_Id:int; Log_Date:Nullable<System.DateTime>; Log_User:Nullable<int>; Log_Obs:string; idBankStatements2:long; idBAccount:int; idMovementType:int; bankstatements2AplicationDate:System.DateTime; bankstatements2Concept:string; bankstatements2Charge:Nullable<decimal>; bankstatements2Pay:Nullable<decimal>; bankstatements2CreatedBy:Nullable<int>,
tblexpensereportsourcedata,expensereportsourcedataactive,Other,idexpensereportsourcedata,idexpensereportsourcedata:int; idcompany:int; idsourcedata:int; expensereportsourcedataactive:bool,tblcompanies; tblsourcedata; tblexpensereportsourcedatatypes
tblreservationsparent,numberTicket,Pagos/Reservas,idReservationParent,idReservationParent:int; reservationParentGuestName:string; reservationParentCheckIn:Nullable<System.DateTime>; reservationParentCheckOut:Nullable<System.DateTime>; idReservationStatus:Nullable<int>; idCountry:Nullable<int>; idState:Nullable<int>; cityName:string; idServiceType:Nullable<int>; idPaymentForm:Nullable<int>; idChannel:Nullable<int>; reservationParentInternalLocator:string,tblcurrencies; tblPaymentForms; tblPaymentForms1; tblPaymentForms2; tblPaymentForms3; tblSuppliers; tblusers; tblreservationsparentcancellation
tblusercompanies,usercompanyactive,Usuarios/Empresas,idusercompany,idusercompany:int; idcompany:int; iduser:int; usercompanyuserlastchange:int; usercompanydatelastchange:Nullable<System.DateTime>; usercompanyactive:Nullable<bool>,tblcompanies; tblusers
tbluseraccl4,useraccl4active,Usuarios/Empresas,iduseraccl4,iduseraccl4:int; iduser:int; idaccountl4:int; useraccl4active:bool,tblaccountsl4; tblusers
tblinvoice,invoiceupdateon,Facturacion/Ingresos,idinvoice,idinvoice:long; idcompany:int; idcurrency:Nullable<int>; invoicedate:System.DateTime; invoicenumber:int; invoicecreatedby:int; invoicecreateon:System.DateTime; invoiceupdatedby:int; invoiceupdateon:System.DateTime,tblcompanies; tblinvoicecomments; tblinvoiceattach; tblinvoiceditem; tblpayment; tblcurrencies; tblusers; tblusers1
tblerroraction,errorActionName,Other,idErrorAction,idErrorAction:int; errorActionName:string,tblbstaterrors
tblpermissions,permissionIsHtml,Other,idPermission,idPermission:int; permissionController:string; permissionAction:string; permissionArea:string; permissionImageClass:string; permissionTitle:string; permissionDescription:string; permissisonActiveli:string; permissionEstatus:bool; permissionParentId:int; permissionIsParent:bool; permissionHasChild:Nullable<bool>,tbluserpermissions
tblaccountl4accounttype,idaccounttypereport,Other,idaccL4acctypereport,idaccL4acctypereport:int; idaccountl4:int; idaccounttypereport:int,tblaccountsl4; tblaccounttypereport
tblinvoiceattach,invoiceattachshortname,Facturacion/Ingresos,idinvoiceattach,idinvoiceattach:int; idinvoice:long; idattach:int; invoiceattachname:string; invoiceattachdirectory:string; invoiceattachcontenttype:string; invoiceattachuserlastchange:int; invoiceattachdatelastchange:Nullable<System.DateTime>; invoiceattachactive:bool; invoiceattachshortname:string,tblattachments; tblinvoice; tblusers
tblaccountsl4,accountl4order,Other,idAccountl4,idAccountl4:int; idAccountl3:int; accountl4name:string; accountl4description:string; accountl4active:Nullable<bool>; accountl4order:int,tblaccl4paymenmethods; tblaccountl4accounttype; tblaccountsl3; tblconciliationsegmentaccl4fee; tblincomeitem; tblsegmentaccl4; tbluseraccl4; tblinvoiceditem
tblreservations,numberTicket,Pagos/Reservas,idReservation,idReservation:int; idMembership:int; idHotelType:Nullable<int>; idCountry:Nullable<int>; idReservationStatus:Nullable<int>; idUser:Nullable<int>; idPartner:Nullable<int>; idPaymentForm:Nullable<int>; idChannel:Nullable<int>; idServiceType:Nullable<int>; reservationHotelName:string; reservationGuestName:string,tblmembers; tblmemberships; tblpartners; tblPaymentForms; tblPaymentForms1; tblPaymentForms2; tblSuppliers; tbltpv
tblreservationcancellation,exchangeRate,Pagos/Reservas,idReservationCancel,idReservationCancel:int; idReservation:Nullable<int>; cancellationDate:Nullable<System.DateTime>; cancellationReason:string; idCancelType:Nullable<int>; idCurrency:Nullable<int>; terminal:Nullable<int>; amountReturned:Nullable<decimal>; exchangeRate:Nullable<decimal>,tblcurrencies; tblreservations
tblreservationsparentpayment,authCode,Pagos/Reservas,idReservationParentPayment,idReservationParentPayment:int; idReservationParent:Nullable<int>; idPaymentType:Nullable<int>; cardDigits:Nullable<long>; idCurrency:Nullable<int>; terminal:Nullable<int>; reservationPaymentCost:Nullable<decimal>; exchangeRate:Nullable<decimal>; reservationPaymentDate:Nullable<System.DateTime>; authCode:string,tblreservationsparent; tblbankstateparentreserv; tblbankstat2parentreserv
